"Property","English","Spanish","German","Japanese","Korean","Chinese (Simplified)"
"_GlitterJitter","Jitter","Aleatoriedad de la brillantina","Glitzer-Jitter","グリッター ジッター","글리터 지터","闪光抖动"
"_GlitterSpeed","Speed","Velocidad de la brillantina","Glitzergeschwindigkeit","グリッタースピード","글리터 속도","闪光速度"
"_GlitterSize","Glitter Size","Tamaño de la brillantina","Glitzergröße","グリッターサイズ","글리터 크기","闪光尺寸"
"_GlitterContrast","Post Contrast","Contraste de la brillantina","Glitzer-Kontrast","グリッターコントラスト","글리터 대비","闪光对比度"
"_GlitterAngleRange","Glitter Angle Range","Rango del ángulo de la brillantina","Glitzer-Winkelbereich","グリッター角度範囲","글리터 각도 범위","闪光角度范围"
"_GlitterMinBrightness","Glitter Min Brightness","Brillo mínimo de la brillantina","Glitter Min. Helligkeit","グリッター最小の明るさ","글리터 최소 밝기","闪光最小亮度"
"_GlitterBrightness","Glitter Max Brightness","Brillo máximo de la brillantina","Glitzer Max. Helligkeit","グリッター最大の明るさ","글리터 최대 밝기","闪光最大亮度"
"_GlitterBias","Glitter Bias","Sesgo de la brillantina","Glitzer-Vorspannung","グリッターの傾き","글리터 바이어스","闪光偏移"
"_GlitterHideInShadow","Hide in shadow","Ocultar en la sombra","Verstecke dich im Schatten","影で隠れる","그림자에서 숨기기","在阴影中隐藏"
"_GlitterCenterSize","dim light","Luz tenue","schwachem Licht","薄暗い光","약한 빛","暗光"
"_glitterFrequencyLinearEmissive","Emission Frequency","Frecuencia emisiva","Frequenz","周波数","주파수","频率"
"_GlitterJaggyFix","Distant Jaggy Fix","Corrección de bordes dentados","Gezackter Fix","ジャギーフィックス","계단 현상 수정","锯齿修复"
"_GlitterHueShiftEnabled","Enable Hue Shift","<size=13><b>Cambio de tono </b></size>","<size=13><b>Farbtonverschiebung</b></size>","<size=13><b>ぼかしシフト</b></size>","<size=13><b>색조 시프트</b></size>","<size=13><b>色相偏移</b></size>"
"_GlitterHueShiftSpeed","Shift Speed","Velocidad del cambio","Schaltgeschwindigkeit","シフトスピード","시프트 속도","偏移速度"
"_GlitterHueShift","Hue Shift","Cambio de tono","Farbtonverschiebung","ぼかしシフト","색조 시프트","色相偏移"
"m_start_GlitterRandomStuff","Random Stuff","Cosas aleatorias","Zufälliges zeugs","ランダム化","랜덤","随机化"
"_GlitterRandomColors","Random Colors","Colores aleatorios","Zufällige Farben","ランダムな色","랜덤 색상","随机颜色"
"_GlitterMinMaxSaturation","Saturation Range","Rango de saturación","Sättigungsbereich","色調範囲","채도 범위","饱和度范围"
"_GlitterMinMaxBrightness","Brightness Range","Rango de brillo","Helligkeitsbereich","明るさの範囲","밝기 범위","亮度范围"
"_GlitterRandomSize","Random Size","Tamaño aleatorio","Zufällige Größe","ランダムなサイズ","랜덤 크기","随机尺寸"
"_GlitterMinMaxSize","Size Range","Rango del tamaño","Größenbereich","サイズ範囲","크기 범위","尺寸范围"
"_GlitterRandomRotation","Random Offset","Rotación de textura aleatoria","Zufällige Tex-Rotation","ランダムなTexローテーション","랜덤 텍스처 회전","随机纹理旋转"
"m_start_pathing","Pathing","Trazado (Pathing)","Pathing","パッシング","패싱","路径动画 (Pathing)"
"_EnablePathing","Enable Pathing","Activar trazado","Pathing aktivierenen","パスを有効にする","패싱 활성화","启用路径"
"_PathGradientType","Gradient Type","Tipo de gradiente","Verlaufstyp","グラデーションタイプ","그라데이션 유형","渐变类型"
"_PathingOverrideAlpha","Override alpha","Anular alfa","Alpha überschreiben","アルファを無視する","알파 덮어쓰기","忽略 Alpha"
"_PathingMap","RGBA Path Gradient / Mask","Mapa de ruta RGBA","RGBA-PfadTextur","RGBA パス マップ","RGBA 경로 맵","RGBA 路径图"
"_PathingMapUV","UV","UV","UV","UV","UV","UV"
"_PathingMapPan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_PathingColorMap","Color & Mask (Expand)","Color y máscara (Expandir)","Farbe & Maske (Erweitern)","カラー＆マスク（拡大）","색상 & 마스크 (확장)","颜色 & 遮罩 (展开)"
"_PathingColorMapUV","UV","UV","UV","UV","UV","UV"
"_PathingColorMapPan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_PathTypeR","R Path Type","Tipo de ruta (Canal R)","R Pfadtyp","R パスの種類","R 경로 유형","R 路径类型"
"_PathTypeG","G Path Type","Tipo de ruta (Canal G)","G Pfadtyp","G パスの種類","G 경로 유형","G 路径类型"
"_PathTypeB","B Path Type","Tipo de ruta (Canal B)","B Pfadtyp","B パスの種類","B 경로 유형","B 路径类型"
"_PathTypeA","A Path Type","Tipo de ruta (Canal A)","Ein Pfadtyp","A パスの種類","A 경로 유형","A 路径类型"
"_PathColorR","R Color","Color de la ruta (Canal R)","R-Farbe","R カラー","R 색상","R 颜色"
"_PathColorG","G Color","Color de la ruta (Canal G)","G-Farbe","G カラー","G 색상","G 颜色"
"_PathColorB","B Color","Color de la ruta (Canal B)","B-Farbe","B カラー","B 색상","B 颜色"
"_PathColorA","A Color","Color de la ruta (Canal A)","Eine Farbe","A カラー","A 색상","A 颜色"
"_PathEmissionStrength","Emission Strength","Intensidad de la emisión","Emissionsstärke","発光の強さ","방출 강도","发光强度"
"_PathSoftness","Softness","Suavidad","Weichheit","柔らかさ","부드러움","柔和度"
"_PathSpeed","Speed","Velocidad","Geschwindigkeit","スピード","속도","速度"
"_PathWidth","Length","Longitud","Länge","長さ","길이","长度"
"_PathTime","Manual Timing","Tiempo manual","Manuelle Zeitmessung","手動タイミング","수동 타이밍","手动计时"
"_PathOffset","Timing Offset","Desplazamiento del tiempo","Timing-Offset","タイミングオフセット","타이밍 오프셋","时间偏移"
"_PathSegments","Path Segments","Segmentos de ruta","Pfadsegmente","パス セグメント","경로 세그먼트","路径段"
"m_start_PathAudioLink","Audio Link ♫","AudioLink ♫","Audiolink ♫","オーディオリンク♫","오디오링크 ♫","AudioLink ♫"
"_PathALTimeOffset","<size=13><b>  Time Offset</b></size>","<size=13><b>Desplazamiento del tiempo </b></size>","<size=13><b>Zeitversatz</b></size>","<size=13><b>タイム オフセット</b></size>","<size=13><b>시간 오프셋</b></size>","<size=13><b>时间偏移</b></size>"
"_AudioLinkPathTimeOffsetBandR","Band R","Banda (Canal R)","Band R","バンドR","밴드 R","频段 R"
"_AudioLinkPathTimeOffsetR","Offset   R","Desplazamiento (Canal R)","Versatz R","オフセット R","오프셋 R","偏移 R"
"_AudioLinkPathTimeOffsetBandG","Band G","Banda (Canal G)","Band g","バンド G","밴드 G","频段 G"
"_AudioLinkPathTimeOffsetG","Offset   G","Desplazamiento (Canal G)","Versatz G","オフセット G","오프셋 G","偏移 G"
"_AudioLinkPathTimeOffsetBandB","Band B","Banda (Canal B)","B und B","バンド B","밴드 B","频段 B"
"_AudioLinkPathTimeOffsetB","Offset   B","Desplazamiento (Canal B)","Versatz B","オフセット B","오프셋 B","偏移 B"
"_AudioLinkPathTimeOffsetBandA","Band A","Banda (Canal A)","Band A","バンドA","밴드 A","频段 A"
"_AudioLinkPathTimeOffsetA","Offset   A","Desplazamiento (Canal A)","Offset A","オフセット A","오프셋 A","偏移 A"
"_PathALEmissionOffset","<size=13><b>  Emission Offset</b></size>","<size=13><b>Desplazamiento de la emisión </b></size>","<size=13><b>Emissionsausgleich</b></size>","<size=13><b>発光オフセット</b></size>","<size=13><b>방출 오프셋</b></size>","<size=13><b>发光偏移</b></size>"
"_AudioLinkPathEmissionAddBandR","Band    R","Banda (Canal R)","Band R","バンドR","밴드 R","频段 R"
"_AudioLinkPathEmissionAddR","Offset  R","Desplazamiento (Canal R)","Versatz R","オフセット R","오프셋 R","偏移 R"
"_AudioLinkPathEmissionAddBandG","Band    G","Banda (Canal G)","Band g","バンド G","밴드 G","频段 G"
"_AudioLinkPathEmissionAddG","Offset  G","Desplazamiento (Canal G)","Versatz G","オフセット G","오프셋 G","偏移 G"
"_AudioLinkPathEmissionAddBandB","Band    B","Banda (Canal B)","B und B","バンド B","밴드 B","频段 B"
"_AudioLinkPathEmissionAddB","Offset  B","Desplazamiento (Canal B)","Versatz B","オフセット B","오프셋 B","偏移 B"
"_AudioLinkPathEmissionAddBandA","Band    A","Banda (Canal A)","Band A","バンドA","밴드 A","频段 A"
"_AudioLinkPathEmissionAddA","Offset  A","Desplazamiento (Canal A)","Offset A","オフセット A","오프셋 A","偏移 A"
"_PathALWidthOffset","<size=13><b>  Width Offset</b></size>","<size=13><b>Desplazamiento de la longitud </b></size>","<size=13><b>Breitenversatz</b></size>","<size=13><b>幅オフセット</b></size>","<size=13><b>너비 오프셋</b></size>","<size=13><b>宽度偏移</b></size>"
"_AudioLinkPathWidthOffsetBandR","Band    R","Banda (Canal R)","Band R","バンドR","밴드 R","频段 R"
"_AudioLinkPathWidthOffsetR","Offset  R","Desplazamiento (Canal R)","Versatz R","オフセット R","오프셋 R","偏移 R"
"_AudioLinkPathWidthOffsetBandG","Band    G","Banda (Canal G)","Band g","バンド G","밴드 G","频段 G"
"_AudioLinkPathWidthOffsetG","Offset  G","Desplazamiento (Canal G)","Versatz G","オフセット G","오프셋 G","偏移 G"
"_AudioLinkPathWidthOffsetBandB","Band    B","Banda (Canal B)","B und B","バンド B","밴드 B","频段 B"
"_AudioLinkPathWidthOffsetB","Offset  B","Desplazamiento (Canal B)","Versatz B","オフセット B","오프셋 B","偏移 B"
"_AudioLinkPathWidthOffsetBandA","Band    A","Banda (Canal A)","Band A","バンドA","밴드 A","频段 A"
"_AudioLinkPathWidthOffsetA","Offset  A","Desplazamiento (Canal A)","Offset A","オフセット A","오프셋 A","偏移 A"
"_PathALHistory","<size=13><b>  History</b></size>","<size=13><b>Historial del trazado </b></size>","<size=13><b> Verlauf</b></size>","<size=13><b>推移</b></size>","<size=13><b>기록</b></size>","<size=13><b>历史</b></size>"
"_PathALHistoryBandR","R Band","Banda (Canal R)","R-Band","Rバンド","R 밴드","R 频段"
"_PathALHistoryR","R History","Historial (Canal R)","R-Geschichte","Rの推移","R 기록","R 历史"
"_PathALHistoryBandG","G Band","Banda (Canal G)","G-Band","Gバンド","G 밴드","G 频段"
"_PathALHistoryG","G History","Historial (Canal G)","G Geschichte","Gの推移","G 기록","G 历史"
"_PathALHistoryBandB","B Band","Banda (Canal B)","B-Band","Bバンド","B 밴드","B 频段"
"_PathALHistoryB","B History","Historial (Canal B)","B Geschichte","Bの推移","B 기록","B 历史"
"_PathALHistoryBandA","A Band","Banda (Canal A)","Eine Band","バンド","A 밴드","A 频段"
"_PathALHistoryA","A History","Historial (Canal A)","Eine Geschichte","推移","A 기록","A 历史"
"_PathALChrono","<size=13><b>  Chrono Time</b></size>","<size=13><b>Tiempo de cronotensidad</b></size>","<size=13><b> Chrono-Zeit</b></size>","<size=13><b>クロノタイム</b></size>","<size=13><b>크로노 시간</b></size>","<size=13><b>Chrono 时间</b></size>"
"_PathChronoBandR","R Band","Banda (Canal R)","R-Band","Rバンド","R 밴드","R 频段"
"_PathChronoTypeR","R Motion Type","Tipo de movimiento (Canal R)","R Bewegungstyp","Rモーションタイプ","R 모션 타입","R 运动类型"
"_PathChronoSpeedR","R Speed","Velocidad (Canal R)","R-Geschwindigkeit","Rスピード","R 속도","R 速度"
"_PathChronoBandG","G Band","Banda (Canal G)","G-Band","Gバンド","G 밴드","G 频段"
"_PathChronoTypeG","G Motion Type","Tipo de movimiento (Canal G)","G Bewegungstyp","Gモーションタイプ","G 모션 타입","G 运动类型"
"_PathChronoSpeedG","G Speed","Velocidad (Canal G)","G-Geschwindigkeit","Gスピード","G 속도","G 速度"
"_PathChronoBandB","B Band","Banda (Canal B)","B-Band","Bバンド","B 밴드","B 频段"
"_PathChronoTypeB","B Motion Type","Tipo de movimiento (Canal B)","B Bewegungstyp","ロモーションタイプ","B 모션 타입","B 运动类型"
"_PathChronoSpeedB","B Speed","Velocidad (Canal B)","B-Geschwindigkeit","Bスピード","B 속도","B 速度"
"_PathChronoBandA","A Band","Banda (Canal A)","Eine Band","バンド","A 밴드","A 频段"
"_PathChronoTypeA","A Motion Type","Tipo de movimiento (Canal A)","Ein Bewegungstyp","モーションタイプ","A 모션 타입","A 运动类型"
"_PathChronoSpeedA","A Speed","Velocidad (Canal A)","Eine Geschwindigkeit","速度","A 속도","A 速度"
"_PathALAutoCorrelator","<size=13><b>  Auto Correlator</b></size>","<size=13><b>Autocorrelación </b></size>","<size=13><b>Autokorrelator</b></size>","<size=13><b>自己比較</b></size>","<size=13><b>자동 상관기</b></size>","<size=13><b>自动相关器</b></size>"
"_PathALAutoCorrelatorR","R Type","Tipo (Canal R)","R-Typ","Rタイプ","R 유형","R 类型"
"_PathALAutoCorrelatorG","G Type","Tipo (Canal G)","G-Typ","Gタイプ","G 유형","G 类型"
"_PathALAutoCorrelatorB","B Type","Tipo (Canal B)","B-Typ","Bタイプ","B 유형","B 类型"
"_PathALAutoCorrelatorA","A Type","Tipo (Canal A)","Eine Art","タイプ","A 유형","A 类型"
"_PathALCCR","R Color Chord Strip","Banda de acordes de color R","R Farbakkordstreifen","R カラー コード ストリップ","R 색상 코드 스트립","R 颜色编码条"
"_PathALCCG","G Color Chord Strip","Banda de acordes de color G","G Farbiger Akkordstreifen","Gカラーコードストリップ","G 색상 코드 스트립","G 颜色编码条"
"_PathALCCB","B Color Chord Strip","Banda de acordes de color B","B-Farbakkordstreifen","Bカラーコードストリップ","B 색상 코드 스트립","B 颜色编码条"
"_PathALCCA","A Color Chord Strip","Banda de acordes de color A","Ein Farbakkordstreifen","カラーコードストリップ","A 색상 코드 스트립","A 颜色编码条"
"m_start_mirrorOptions","Mirror/Camera Visibility","Visibilidad en espejo/cámara","Spiegel-/Kamera-Sichtbarkeit","ミラー/カメラの可視性","거울/카메라 가시성","镜像/摄像机可见性"
"_EnableMirrorOptions","Enable Mirror Options","Activar opciones de espejo","Spiegelungsoptionen aktivieren","ミラー オプションを有効にする","거울 옵션 활성화","启用镜像选项"
"_VisibilityMode","Mode","Modo","Modus","モード","모드","模式"
"_Mirror","Mirror Visibility","Visibilidad del espejo","Spiegelsicht","ミラーの可視性","거울 가시성","镜像可见性"
"_VisibilityVRCRegular","Normal (Outside Mirror/Camera)","Normal (Espejo exterior/Cámara)","Normal (Außenspiegel/Kamera)","ノーマル（アウトサイドミラー・カメラ）","일반 (외부 거울/카메라)","普通 (外部镜像/摄像机)"
"_VisibilityVRCMirrorVR","Mirror (VR)","Espejo (Modo VR)","Spiegel (VR)","ミラー（VR）","거울 (VR)","镜像 (VR)"
"_VisibilityVRCMirrorDesktop","Mirror (Desktop)","Espejo (Modo escritorio)","Spiegel (Desktop)","ミラー (デスクトップ)","거울 (데스크톱)","镜像 (桌面)"
"_VisibilityVRCCameraVR","Camera (VR)","Cámara (Modo VR)","Kamera (VR)","カメラ（VR）","카메라 (VR)","摄像机 (VR)"
"_VisibilityVRCCameraDesktop","Camera (Desktop)","Cámara (Modo escritorio)","Kamera (Desktop)","カメラ (デスクトップ)","카메라 (데스크톱)","摄像机 (桌面)"
"_VisibilityVRCCameraScreenshot","Screenshot","Captura de pantalla","Bildschirmfoto","スクリーンショット","스크린샷","截屏"
"_MirrorColor","Color","Color en espejo","Spiegeltönungsfarbe","ミラーの色調整","거울 틴트 색상","镜像颜色调整"
"_MirrorTexture","Texture","Textura en espejo","Spiegel-Textur","ミラー テクスチャ","거울 텍스처","镜像纹理"
"_MirrorTexturePan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_MirrorTextureUV","UV","UV","UV","UV","UV","UV"
"_MirrorTextureBlendType","Blending","Tipo de mezcla","Mischen","ブレンディング","블렌딩","混合类型"
"m_start_depthFX","Depth FX","Efectos de profundidad","Tiefen-FX","深度FX","깊이 FX","深度 FX"
"_EnableTouchGlow","Enable Depth FX","Activar efectos de profundidad","Tiefen-FX aktivieren","深度 FX を有効にする","깊이 FX 활성화","启用深度 FX"
"_DepthMask","Mask","Máscara","Maske","マスク","마스크","遮罩"
"_DepthMaskPan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_DepthMaskUV","UV","UV","UV","UV","UV","UV"
"_DepthMaskChannel","Channel","Canal","Kanal","チャンネル","채널","通道"
"_DepthMaskGlobalMask","Global Mask","Máscara global","Globale Maske","グローバル マスク","글로벌 마스크","全局遮罩"
"_DepthMaskGlobalMaskBlendType","Blending","Tipo de mezcla","Mischen","ブレンディング","블렌딩","混合类型"
"_DepthColorToggle","Color & Emission","<size=13><b>Color y emisión </b></size>","<size=13><b>Farbe & Emission</b></size>","<size=13><b>色と発光</b></size>","<size=13><b>색상 & 방출</b></size>","<size=13><b>颜色 & 发光</b></size>"
"_DepthColorBlendMode","Blend Type","Tipo de mezcla","Mischungstyp","ブレンドタイプ","블렌드 유형","混合类型"
"_DepthTexture","Depth Texture","Textura de profundidad","Tiefe Textur","深度テクスチャ","깊이 텍스처","深度纹理"
"_DepthTexturePan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_DepthTextureUV","UV","UV","UV","UV","UV","UV"
"_DepthColor","Color","Color","Farbe","色","색상","颜色"
"_DepthEmissionStrength","Emission Strength","Intensidad de la emisión","Emissionsstärke","発光の強さ","방출 강도","发光强度"
"_DepthColorMinDepth","Min Depth","Profundidad mínima","Mindesttiefe","最小深度","최소 깊이","最小深度"
"_DepthColorMaxDepth","Max Depth","Profundidad máxima","Maximale Tiefe","最大深度","최대 깊이","最大深度"
"_DepthColorMinValue","Min Color Blend","Color mínimo de mezcla","Min. Farbmischung","最小カラー ブレンド","최소 색상 블렌드","最小颜色混合"
"_DepthColorMaxValue","Max Color Blend","Color máximo de mezcla","Maximale Farbmischung","最大カラー ブレンド","최대 색상 블렌드","最大颜色混合"
"_DepthAlphaToggle","Alpha","<size=13><b>Alfa </b></size>","<size=13><b>Alpha</b></size>","<size=13><b>アルファ</b></size>","<size=13><b>알파</b></size>","<size=13><b>Alpha</b></size>"
"_DepthAlphaMinDepth","Min Depth","Profundidad mínima","Mindesttiefe","最小深度","최소 깊이","最小深度"
"_DepthAlphaMaxDepth","Max Depth","Profundidad máxima","Maximale Tiefe","最大深度","최대 깊이","最大深度"
"_DepthAlphaMinValue","Min Alpha","Alfa mínimo","Min-Alpha","最小アルファ","최소 알파","最小 Alpha"
"_DepthAlphaMaxValue","Max Alpha","Alfa máximo","MaxAlpha","最大アルファ","최대 알파","最大 Alpha"
"m_start_Iridescence","","Iridiscencia","Irisieren","イリディセント","무지개빛","虹彩 (Iridescence)"
"_EnableIridescence","","Activar iridiscencia","Schillern aktivieren","虹色を有効にする","무지개빛 활성화","启用虹彩"
"_IridescenceRamp","","Rampa","Rampe","ランプ","램프","渐变"
"_IridescenceRampPan","","Barrido de la rampa","Bewegung","パンニング","패닝","平移"
"_IridescenceMask","","Máscara","Maske","マスク","마스크","遮罩"
"_IridescenceMaskPan","","Barrido","Bewegung","パンニング","패닝","平移"
"_IridescenceMaskUV","","Máscara UV","UV-Maske","マスクUV","마스크 UV","遮罩 UV"
"_IridescenceMaskChannel","","Canal","Kanal","チャンネル","채널","通道"
"_IridescenceMaskGlobalMask","","Máscara global","Globale Maske","グローバル マスク","글로벌 마스크","全局遮罩"
"_IridescenceMaskGlobalMaskBlendType","","Tipo de mezcla","Mischen","ブレンディング","블렌딩","混合类型"
"_IridescenceNormalToggle","","Normales personalizadas","Benutzerdefinierte Normalen","カスタムノーマル(法線)","커스텀 노멀(법선)","自定义法线"
"_IridescenceNormalMap","","Mapa de normales","Normale Textur","ノーマルマップ (法線マップ)","노멀맵 (법선맵)","法线贴图"
"_IridescenceNormalIntensity","","Intensidad normal","Normale Intensität","ノーマルマップ(法線マップ)の強度","노멀맵(법선맵) 강도","法线强度"
"_IridescenceNormalMapPan","","Barrido","Bewegung","パンニング","패닝","平移"
"_IridescenceNormalMapUV","","UV","Normales UV","ノーマルマップ(法線マップ)のUV","노멀맵(법선맵) UV","法线 UV"
"_IridescenceNormalSelection","","Seleccionar normales","Normale Auswahl","ノーマルマップ(法線マップ)の選択","노멀맵(법선맵) 선택","法线选择"
"_IridescenceIntensity","","Intensidad","Intensität","強度","강도","强度"
"_IridescenceAddBlend","","Agregar","Mischen Hinzufügen","ブレンド追加","블렌드 추가","添加混合"
"_IridescenceReplaceBlend","","Reemplazar","Mischung ersetzen","ブレンド置換","블렌드 교체","替换混合"
"_IridescenceMultiplyBlend","","Multiplicar","Multiplizieren mischen","ブレンド乗算","블렌드 곱하기","乘法混合"
"_IridescenceEmissionStrength","","Intensidad de la emisión","Emissionsstärke","発光の強さ","발광 강도","发光强度"
"_IridescenceHueShiftEnabled","","<size=13><b>Cambio de tono</b></size>","<size=13><b>Farbtonverschiebung</b></size>","<size=13><b>ぼかしシフト</b></size>","<size=13><b>색조 시프트</b></size>","<size=13><b>色相偏移</b></size>"
"_IridescenceHueShiftSpeed","","Velocidad del cambio","Geschwindigkeit","スピード","속도","速度"
"_IridescenceHueShift","","Cambio de tono","Schicht","シフト","시프트","偏移"
"m_start_IridescenceAudioLink","","AudioLink ♫","Audiolink ♫","オーディオリンク♫","오디오링크♫","AudioLink ♫"
"_IridescenceAudioLinkEmissionAddBand","","Banda de emisión","Emissionsband","発光帯","발광 밴드","发光频段"
"_IridescenceAudioLinkEmissionAdd","","Modificador de emisión","Emissionsmod","発光モッド","발광 모드","发光调节"
"m_start_Text","Stats Overlay","Superposición de estadísticas","Statistik-Overlay","統計情報のオーバーレイ表示","통계 정보 오버레이 표시","统计信息叠加"
"_TextEnabled","Text","Activar texto","Text","文章","텍스트","文本"
"_TextGlyphs","Font Array","Glifos de textos","Font-Array","フォント配列","글꼴 배열","字体数组"
"_TextPixelRange","Pixel Range","Rango de píxeles","Pixelbereich","ピクセル範囲","픽셀 범위","像素范围"
"m_start_TextFPS","FPS","Cuadros por segundo (FPS)","FPS","FPS","FPS","FPS"
"_TextFPSEnabled","FPS Text","Activar texto (FPS)","FPS-Text","FPS テキスト","FPS 텍스트","FPS 文本"
"_TextFPSUV","FPS UV","UV","FPS-UV","FPS UV","FPS UV","FPS UV"
"_TextFPSColor","Color","Color","Farbe","色","색상","颜色"
"_TextFPSEmissionStrength","Emission Strength","Intensidad de la emisión","Emissionsstärke","発光の強さ","발광 강도","发光强度"
"_TextFPSOffset","Offset","Desplazamiento","Versatz","オフセット","오프셋","偏移"
"_TextFPSRotation","Rotation","Rotación","Drehung","回転","회전","旋转"
"_TextFPSScale","Scale","Escala","Skala","規模","크기","缩放"
"_TextFPSPadding","Padding Reduction","Reducción del relleno","Reduzierung der Polsterung","パディング削減","패딩 감소","减少填充"
"m_start_TextPosition","Position","Posición","Position","位置","위치","位置"
"_TextPositionEnabled","Position Text","Activar texto de posición","Positionstext","位置テキスト","위치 텍스트","位置文本"
"_TextPositionUV","Position UV","UV","UV positionieren","UVの位置","UV 위치","位置 UV"
"_TextPositionColor","Color","Color","Farbe","色","색상","颜色"
"_TextPositionEmissionStrength","Emission Strength","Intensidad de la emisión","Emissionsstärke","発光の強さ","발광 강도","发光强度"
"_TextPositionOffset","Offset","Desplazamiento","Versatz","オフセット","오프셋","偏移"
"_TextPositionRotation","Rotation","Rotación","Drehung","回転","회전","旋转"
"_TextPositionScale","Scale","Escala","Skala","規模","크기","缩放"
"_TextPositionPadding","Padding Reduction","Reducción del relleno","Reduzierung der Polsterung","パディング削減","패딩 감소","减少填充"
"m_start_TextInstanceTime","Instance Time","Tiempo en la estancia","Instanzzeit","インスタンス時間","인스턴스 시간","实例时间"
"_TextTimeEnabled","Time Text","Activar texto de tiempo","Zeittext","時間テキスト","시간 텍스트","时间文本"
"_TextTimeUV","Time UV","UV","Zeit UV","時間UV","시간 UV","时间 UV"
"_TextTimeColor","Color","Color","Farbe","色","색상","颜色"
"_TextTimeEmissionStrength","Emission Strength","Intensidad de la emisión","Emissionsstärke","発光の強さ","발광 강도","发光强度"
"_TextTimeOffset","Offset","Desplazamiento","Versatz","オフセット","오프셋","偏移"
"_TextTimeRotation","Rotation","Rotación","Drehung","回転","회전","旋转"
"_TextTimeScale","Scale","Escala","Skala","規模","크기","缩放"
"_TextTimePadding","Padding Reduction","Reducción del relleno","Reduzierung der Polsterung","パディング削減","패딩 감소","减少填充"
"m_start_TextNumeric","Numeric (WIP)","Numérico (En progreso)","Numerisch (WIP)","数値 (見本)","숫자 (WIP)","数值 (WIP)"
"_TextNumericEnabled","Numeric Text","Activar texto numérico","Numerischer Text","数値テキスト","숫자 텍스트","数值文本"
"_TextNumericUV","Numeric UV","UV","Numerischer UV","数値 UV","숫자 UV","数值 UV"
"_TextNumericColor","Color","Color","Farbe","色","색상","颜色"
"_TextNumericValue","Display Value","Valor de visualización","Anzeigewert","表示値","표시 값","显示值"
"_TextNumericWholeDigits","Whole Digits","Dígitos enteros","Ganze Ziffern","整数","정수","整数位数"
"_TextNumericDecimalDigits","Decimal Digits","Dígitos decimales","Dezimalziffern","10 進数","십진수","小数位数"
"_TextNumericTrimZeroes","Trim Leading Zeroes","Eliminar los ceros iniciales","Trimmen Sie führende Nullen","先頭のゼロをトリム","앞쪽 0 자르기","修剪前导零"
"_TextNumericEmissionStrength","Emission Strength","Intensidad de la emisión","Emissionsstärke","発光の強さ","발광 강도","发光强度"
"_TextNumericOffset","Offset","Desplazamiento","Versatz","オフセット","오프셋","偏移"
"_TextNumericRotation","Rotation","Rotación","Drehung","回転","회전","旋转"
"_TextNumericScale","Scale","Escala","Skala","規模","크기","缩放"
"_TextNumericPadding","Padding Reduction","Reducción del relleno","Reduzierung der Polsterung","パディングの削減","패딩 감소","减少填充"
"m_start_FXProximityColor","Proximity Color","Color de proximidad","Nähe Farbe","カメラの距離に応じた変色","카메라 거리에 따른 색상 변경","距离变色"
"_FXProximityColor","Enable","Activar","Aktivieren","有効","활성화","启用"
"_FXProximityColorType","Pos To Use","Posición a usar","Zu verwendende Position","使用する位置","사용할 위치","使用位置"
"_FXProximityColorMinColor","Min Color","Alfa de distancia mínima","Mindestabstand Alpha","最小距離アルファ","최소 거리 알파","最小距离 Alpha"
"_FXProximityColorMaxColor","Max Color","Alfa de distancia máxima","Maximale Entfernung Alpha","最大距離アルファ","최대 거리 알파","最大距离 Alpha"
"_FXProximityColorMinDistance","Min Distance","Distancia mínima","Mindestabstand","最小距離","최소 거리","最小距离"
"_FXProximityColorMaxDistance","Max Distance","Distancia máxima","Maximale Entfernung","最大距離","최대 거리","最大距离"
"_FXProximityColorBackFace","Force BackFace Color","Forzar el color de la cara trasera","Rückseitenfarbe erzwingen","背面の色を強制する","뒷면 색상 강제","强制背面颜色"
"m_start_internalparallax","Internal Parallax","Paralaje interno","Interne Parallaxe","内部視差","내부 시차","内部视差"
"_PoiInternalParallax","Enable","Activar","Aktivieren","有効","활성화","启用"
"_ParallaxInternalHeightmapMode","Parallax Mode","Modo de paralaje","Parallax-Modus","視差モード","시차 모드","视差模式"
"_ParallaxInternalHeightFromAlpha","Height From Alpha","Altura según el alfa","HöheVonAlpha","高さをアルファから取得","알파에서 높이 가져오기","从 Alpha 获取高度"
"_ParallaxInternalMap","Internal Map","Mapa interno","Interne Textur","内部マップ","내부 맵","内部贴图"
"_ParallaxInternalMapPan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_ParallaxInternalMapMask","Mask","Máscara","Maske","マスク","마스크","遮罩"
"_ParallaxInternalMapMaskPan","Panning","Barrido de la máscara","Bewegung","パンニング","패닝","平移"
"_ParallaxInternalMapMaskUV","UV","UV","UV","UV","UV","UV"
"_ParallaxInternalMapMaskChannel","Channel","Canal","Kanal","チャンネル","채널","通道"
"_ParallaxInternalIterations","Parallax Internal Iterations","Iteraciones internas de paralaje","Parallax Interne Iterationen","視差の内部反復","시차 내부 반복","视差内部迭代"
